"Title:","Unemployment from the Employment and Unemployment - Non-Seasonally Adjusted Database"
"SubTitle:","Counties within State"
"Time:","01/1990 - 09/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-20). Employment and Unemployment - Non-Seasonally Adjusted: Unemployment | Albany, Berkshire, Goshen, Lincoln, Madison, Newport, Providence, Saratoga, Suffolk, Washington, Worcester, 01/1990 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-013-003 doi:https://doi.org/10.6068/DP184A09C29E252"
"ColumnCount:",13
"RowCount:",393

"Time","Albany, Wyoming, #","Albany, New York, #","Berkshire, Massachusetts, #","Goshen, Wyoming, #","Lincoln, Wyoming, #","Madison, New York, #","Newport, Rhode Island, #","Providence, Rhode Island, #","Saratoga, New York, #","Suffolk, Massachusetts, #","Washington, Rhode Island, #","Worcester, Massachusetts, #"
"06/2008",513,7716,3701,227,267,1806,2539,25712,5221,20940,4275,23118
"07/2008",446,8010,3738,227,256,2015,2764,28717,5261,21542,4895,24957
"08/2008",448,8090,3504,208,244,1994,2951,29478,5297,20790,5117,24420
"09/2008",408,7952,3619,178,218,1870,2742,27755,5432,21361,4643,24356
"10/2008",447,7881,3514,178,250,1867,2860,28662,5466,20651,4798,23838
"11/2008",443,8022,3931,181,307,2097,3280,29704,5783,21162,5326,24929
"12/2008",515,8788,4670,204,406,2694,3746,32361,6529,22177,6062,27451
"01/2009",680,10297,5830,286,579,3262,4977,38472,7794,26933,7386,33686
"02/2009",646,10865,6074,318,620,3369,5011,40484,8525,27324,7527,35095
"03/2009",789,10399,6137,348,723,3261,4915,40908,8243,26656,7360,35471
"04/2009",762,10295,5414,344,760,2830,4271,40095,7479,25696,6922,33709
"05/2009",802,10581,5482,333,685,2751,4125,41225,7575,28459,6605,35713
"06/2009",947,11649,5808,374,676,2985,4107,41637,8049,31893,6577,38080
"07/2009",851,11466,5766,342,625,2874,4194,43088,7658,32191,6840,39353
"08/2009",778,11457,5427,312,566,2775,4204,41706,7511,30708,6681,37303
"09/2009",712,11323,5414,301,543,2694,4031,40216,7608,30889,6208,37032
"10/2009",891,11148,5205,336,605,2707,4121,39694,7803,29212,6299,35843
